Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF, 50V (DNP)","C_0805_2012Metric",78.740000,-82.550000,0.000000,top
"C2","0.1uF, 50V","C_0805_2012Metric",85.852000,-82.550000,0.000000,top
"C3","0.1uF, 50V","C_0805_2012Metric",25.400000,-53.848000,270.000000,top
"C4","47uF, 22V","C_0805_2012Metric",31.750000,-53.848000,0.000000,top
"C5","0.1uF, 50V","C_0805_2012Metric",12.192000,-41.529000,0.000000,top
"C6","47uF, 22V","C_0805_2012Metric",6.604000,-73.914000,90.000000,top
"C7","1uF, 16V","C_0805_2012Metric",11.938000,-56.388000,180.000000,top
"C8","0.1uF, 50V","C_0805_2012Metric",26.924000,-41.148000,180.000000,top
"C9","22p","C_0805_2012Metric",12.192000,-33.528000,180.000000,top
"C10","1uF, 16V","C_0805_2012Metric",32.766000,-41.148000,180.000000,top
"C11","1500p","C_0805_2012Metric",12.192000,-37.338000,0.000000,top
"C12","47p","C_0805_2012Metric",12.192000,-43.942000,180.000000,top
"C13","100uF, 6,3V","C_0805_2012Metric",18.288000,-56.134000,270.000000,top
"C14","1uF, 16V","C_0805_2012Metric",10.414000,-24.384000,180.000000,top
"C15","0.1uF, 50V","C_0805_2012Metric",63.754000,-71.120000,90.000000,top
"C16","4.7uF, 25V","C_0805_2012Metric",70.866000,-71.120000,270.000000,top
"C17","4.7uF, 25V","C_0805_2012Metric",50.927000,-70.993000,270.000000,top
"C18","0.1uF, 50V","C_0805_2012Metric",84.963000,-53.721000,0.000000,top
"C19","4.7uF, 25V","C_0805_2012Metric",80.010000,-53.721000,180.000000,top
"C21","0.1uF, 50V","C_0805_2012Metric",17.018000,-9.779000,180.000000,top
"C22","12pF, 50V","C_0805_2012Metric",56.134000,-39.624000,0.000000,top
"C23","12pF, 50V","C_0805_2012Metric",56.134000,-42.418000,0.000000,top
"C24","22uF, 10V","C_0805_2012Metric",22.352000,-5.334000,90.000000,top
"C25","0.1uF, 50V","C_0805_2012Metric",14.605000,-5.461000,90.000000,top
"C26","22uF, 10V","C_0805_2012Metric",43.737000,-69.596000,180.000000,top
"D1","LTST-C191KRKT (Red)","LED_0603_1608Metric",18.923000,-16.256000,180.000000,top
"D2","BAT760-7","D_SOD-323",6.604000,-78.994000,270.000000,top
"D3","LTST-C191KRKT (Red)","LED_0603_1608Metric",18.796000,-70.358000,180.000000,top
"D4","LTST-C191KRKT (Red)","LED_0603_1608Metric",12.065000,-49.022000,180.000000,top
"D5","PESD15VW1BCSFYL","D_SOD-523",55.372000,-77.470000,90.000000,top
"D6","PESD15VW1BCSFYL","D_SOD-523",70.612000,-77.216000,90.000000,top
"D7","PESD15VW1BCSFYL","D_SOD-523",52.832000,-77.470000,90.000000,top
"D8","PESD15VW1BCSFYL","D_SOD-523",68.580000,-77.216000,90.000000,top
"D9","PESD15VW1BCSFYL","D_SOD-523",50.292000,-77.535000,90.000000,top
"D10","PESD15VW1BCSFYL","D_SOD-523",66.548000,-77.216000,90.000000,top
